COD_DISTRI,NOM_DISTRI,DIRECCION,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,ZONA,NMT_25,COMPLEMENT,Capital_Pr,Latitud,Longitud
13D08,PICHINCHA,VIA MANTA QUEVEDO BARRIO BELLAVISTA CIUDADELA SAN PABLO A LADO DEL COLEGIO NACIONAL PICHINCHA,131150,PICHINCHA,1311,PICHINCHA,13,MANABI,4,DE,MINEDUC,,-1.04494000273,-79.8212769943
13D09,PAJAN,MANUEL LORENZO NIETO  24 DE MAYO ESQ,131050,PAJAN,1310,PAJAN,13,MANABI,4,DE,MINEDUC,,-1.54995005175,-80.4307087308
13D10,PEDERNALES - JAMA,AV 27 DE NOVIEMBRE Y SIMON PALACIOS,131750,PEDERNALES,1317,PEDERNALES,13,MANABI,4,DE,MINEDUC,,0.0652402927,-80.0550590558
13D11,SUCRE - SAN VICENTE,CALLE MARANON 200 ENTREE DR OCTAVIO VITERI Y SALINAS,131450,BAHIA DE CARAQUEZ,1314,SUCRE,13,MANABI,4,DE,MINEDUC,,-0.59871138471,-80.4229394657
13D12,TOSAGUA - ROCAFUERTE,CALLE ABDON BERMUDEZ ENTRE 5 DE MAYO Y 3 DE OCTUBRE,131550,TOSAGUA,1315,TOSAGUA,13,MANABI,4,DE,MINEDUC,,-0.7887545712,-80.2329139857
23D01,STO DOMINGO DE LOS TSACHILAS 1,CALLE RIO CHIMBO Y BALZAPAMBA DIAGONAL COLEGIO TECNICO JULIO MORENO ESPINOZA,230150,SANTO DOMINGO DE LOS COLORADOS,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSACHILAS,4,DP,MINEDUC,SI,-0.25340110393,-79.1627672331
23D02,STO DOMINGO DE LOS TSACHILAS 2,AV ESMERALDAS Y RIO PASTAZA  FRENTE A SUPER EXITO,230150,SANTO DOMINGO DE LOS COLORADOS,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSACHILAS,4,DE,MINEDUC,SI,-0.24497243014,-79.1736549244
23D03,LA CONCORDIA,VIA AL BLANCO BY PASS PTO QUITO,230250,LA CONCORDIA,2302,LA CONCORDIA,23,SANTO DOMINGO DE LOS TSACHILAS,4,DE,MINEDUC,,0.01230444521,-79.3775875024
16D01,PASTAZA - MERA - SANTA CLARA,AVENIDA MONSENOR ALBERTO ZAMBRANO PALACIOS BARRIO EL PARAISO,160150,PUYO,1601,PASTAZA,16,PASTAZA,3,DP,MINEDUC,SI,-1.49083815122,-78.0090088663
16D02,ARAJUNO,ARAJUNO CALLE JUAN AGUINDA VIA A GUANO INSTALACIONES DE RED AMAZONICA,160450,ARAJUNO,1604,ARAJUNO,16,PASTAZA,3,OT,MINEDUC,,-1.23112924477,-77.6887533947
05D01,LATACUNGA,ANTONIA VELA 580 Y GUAYAQUIL,50150,LATACUNGA,501,LATACUNGA,5,COTOPAXI,3,DP,MINEDUC,SI,-0.93339080524,-78.6186257059
05D02,LA MANA,AV AMAZONAS ENTRE MIGUEL ITURRALDE Y HEROES DEL CENEPA,50250,LA MANA,502,LA MANA,5,COTOPAXI,3,DE,MINEDUC,,-0.94300289301,-79.2358278067
05D03,PANGUA,AV GRAL ENRIQUEZ GALLO S N Y SUCRE,50350,EL CORAZON,503,PANGUA,5,COTOPAXI,3,DE,MINEDUC,,-1.13562818324,-79.0822590855
05D04,PUJILI - SAQUISILI,AVENIDA GABRIEL ALVAREZ S N Y TEOFILO SEGOVIA,50450,PUJILI,504,PUJILI,5,COTOPAXI,3,OT,MINEDUC,,-0.95229083543,-78.6984930586
05D05,SIGCHOS,CALLE TUNGURAHUA Y JUAN SALAS TIVELSA,50750,SIGCHOS,507,SIGCHOS,5,COTOPAXI,3,OT,MINEDUC,,-0.70548903743,-78.8906549014
05D06,SALCEDO,BARRIO LA PALMIRA CALLE BELISARIO QUEVEDO Y CIRCUNVALACION,50550,SAN MIGUEL,505,SALCEDO,5,COTOPAXI,3,DE,MINEDUC,,-1.04019848922,-78.5835603292
18D01,AMBATO 1,CALLE LALAMA Y BOLIVAR,180150,AMBATO,1801,AMBATO,18,TUNGURAHUA,3,DP,SENECYT - OT DEPORTE,SI,-1.2403181548,-78.6275925398
18D02,AMBATO 2,EDIFICIO DE LA PROCESADORA DE LECHE DEL ITAS LUIS A MARTINEZ  UBICADO EN LA AVDA RUMINAHUI Y PICHINCHA,180150,AMBATO,1801,AMBATO,18,TUNGURAHUA,3,DE,MINEDUC,SI,-1.25177306999,-78.6252197123
18D03,BANOS DE AGUA SANTA,PEDRO VICENTE MALDONADO ENTRE AMBATO Y ORIENTE,180250,BAÑOS DE AGUA SANTA,1802,BAÑOS DE AGUA SANTA,18,TUNGURAHUA,3,DE,MINEDUC,,-1.39704208278,-78.4236079671
18D04,PELILEO - PATATE,22 DE JULIO 323 Y ZOPOZOPANQUI,180750,PELILEO,1807,SAN PEDRO DE PELILEO,18,TUNGURAHUA,3,DE,MINEDUC,,-1.33182429002,-78.5437806553
18D05,PILLARO,PARROQUIA SAN MIGUELITO CALLE LAS FRESAS Y LOS ARRAYANES,180857,SAN MIGUELITO,1808,SANTIAGO DE PILLARO,18,TUNGURAHUA,3,DE,MINEDUC,,-1.20395145194,-78.5404709976
18D06,QUERO - CEVALLOS - MOCHA - TISALEO,JUAN BENIGNO VELA Y MARIANO BENITEZ,180650,QUERO,1806,QUERO,18,TUNGURAHUA,3,DE,MINEDUC,,-1.38060428333,-78.6065534601
06D01,RIOBAMBA - CHAMBO,CANONIGO RAMOS Y AUGUSTO TORRES,60150,RIOBAMBA,601,RIOBAMBA,6,CHIMBORAZO,3,DP,MINEDUC,SI,-1.65955345922,-78.6653696457
06D02,CHUNCHI - ALAUSI,MANUEL REYES Y QUITO,60550,CHUNCHI,605,CHUNCHI,6,CHIMBORAZO,3,DE,MINEDUC,,-2.29207228377,-78.9211862204
06D03,PALLATANGA - CUMANDA,CALLE PADRE RODOLFO ROMERO VIA A JIMENEZ,60850,PALLATANGA,608,PALLATANGA,6,CHIMBORAZO,3,DE,MINEDUC,,-1.99320969928,-78.9649985449
06D04,COLTA - GUAMOTE,AV UNIDAD NACIONAL Y AV DEL MAESTRO COLEGIO TOMAS OLEAS,60350,VILLA LA UNION (CAJABAMBA),603,COLTA,6,CHIMBORAZO,3,OT,MINEDUC,,-1.70114555017,-78.7697939192
